"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"902","Private","Sanjay Ghodawat University","A/p. Atigre, Tal. Hatkangala, Dist. KolhapurDist-Kolhapur","416118","Maharashtra","2(f)"
"903","Private","Sanjeev Agrawal Global Educational University","Katara Extension,Sahara Bypass Road,Bhopal","","Madhya Pradesh","2(f)"
"904","Private","Sanjivani University","Gat No. 24 and 25, Kopargaon, Taluka Kopargaon, District-Ahmednagar","423601","Maharashtra","2(f)"
"905","Private","Sankalchand Patel University","Sankalchand Patel Vidyadham Ambaji-Gandhinagar State Highway, Visnagar-384315. Dist: Mehsana, Gujarat (INDIA)Visnagar-384315Gujarat","384315","Gujarat","2(f)"
"906","Private","Sanskaram University","Village-Kheri Taluka, Patauda, District-Jhajjar","124108","Haryana","2(f)"
"907","Private","Sanskriti University","28 KM STONE MATHURA DELHI HIGHWAY CHHATA MATHURA UPMathura-Delhi Highway,Chhata, Mathura","281401","Uttar Pradesh","2(f)"
"908","Private","Sant Baba Bhag Singh University","Village Khiala, PO Padhiana, Diatt Jalandhar, PunjabPO-PadhianaDist-Jalandhar","144030","Punjab","2(f)"
"909","State","Sant Gadge Baba Amravati University","Camp, ti,Amravati-444602(M.S.)","","Maharashtra","2(f) & 12(B)"
"910","State","Sant Gahira Guru Vishwavidyalaya (formerly Sarguja University)","Sant Gahira Guru VishwavidyalayaSarguja-Ambikapur- Darripara, Hospital Road Ambikapur Distt. Surguja","497001","Chhattisgarh","2(f)"
"911","Deemed to be Universities","Sant Longowal Institute of Engineering and Technology","Longowal, Distt. Sangrur","148106","Punjab","Section-III"
"912","Deemed to be Universities","Santosh","Santosh Nagar, Ghaziabad","201009","Uttar Pradesh","Section-III"
"913","Private","Sapthagiri NPS University","14/5, Chikkasandra, Hesaraghatta main road, Bengaluru","550057","Karnataka","2(f)"
"914","State","Sardar Beant Singh State University","Pathankot Road, Bariar, Gurdaspur","143521","Punjab","2(f)"
"915","Private","Sardar Bhagwan Singh University","Balawala, Dehradun, UttrakhandDehradunUttarakhand","248001","Uttarakhand","2(f)"
"916","State","Sardar Krushinagar Dantiwada Agricultural University","Sardarkrushinagar, District: Banaskantha","385506","Gujarat","2(f) & 12(B)"
"917","Private","Sardar Patel University","SARDAR PATEL KNOWLEDGE CITY, DONGARIYA (WARASEONI ROAD), POST-CHILLOD, TAHSIL-LALBURRA, DISTRICT-BALAGHAT(M.P.)Waraseoni Road, DongariyaBalaghat","481331","Madhya Pradesh","2(f)"
"918","State","Sardar Patel University","Near Saheed Chowk, Nana Bazar, Vallabh Vidyanagar, Anand, GujaratAnand-388 120. (GUJARAT)","388120","Gujarat","2(f) & 12(B)"
"919","State","Sardar Patel University Mandi","Vallabh Government College CampusAdministrative BlockMandi Sadar, Mandi","175001","Himachal Pradesh","2(f)"
"920","State","Sardar Patel University of Police, Security & Criminal Justice","Opp. Gramin Police line, Mathania Road, Daijar, Jodhpur","342304","Rajasthan","2(f)"
"921","State","Sardar Vallabh Bhai Patel University of Agriculture & Technology","Modipuram, Meerut,  U.P-250110","","Uttar Pradesh","2(f)"
"922","Private","Sardar Vallabhbhai Global University","Chimanbhai Patel Institute Campus, Opp, Karnavati Club, Ahmedabad","380015","Gujarat","2(f)"
"923","Private","Sarla Birla University","Birla Knowledge cityRanchi-purulia Highway, Ranchi","835103","Jharkhand","2(f)"
"924","Private","Saroj International University","12th Km Stone, Chand Sarai Gosaiganj, Lucknow","226022","Uttar Pradesh","2(f)"
"925","Private","Sarvajanik University","M.T.B. College Campus, Opposite Chowpati Athwalines, Surat","395001","Gujarat","2(f)"
"926","Private","Sarvepalli Radhakrishnan University","NH-12, Hoshangabad RoadJatkhedi,Bhopal","","Madhya Pradesh","2(f)"
"927","State","Satavahana University","SATAVAHANA UNIVERSITY, MALKAPUR ROAD, KARIMNAGAR, TELANGANA STATEAndhra Pradesh-505001","505002","Telangana","2(f) & 12(B)"
"928","Deemed to be Universities","Sathyabama Institute of Science and Technology","Jeppiaar Nagar, Rajiv Gandhi Salai, Chennai","600119","Tamil Nadu","Section-III & 12(B)"
"929","State","Saurashtra University","Kalavad RoadRajkot Gujarat","360 005","Gujarat","2(f) & 12(B)"
"930","Private","Saveetha Amaravati University","3rd Floor, Vaishnavi ComplexOpp. Executive ClubVijayawada","520008","Andhra Pradesh","2(f)"
"931","Deemed to be Universities","Saveetha Institute of Medical and Technical Sciences","Saveetha Nagar, Thandalam, Kanchipuram - Chennai Rd, Chennai","602105","Tamil Nadu","Section-III & 12(B)"
"932","State","Savitribai Phule Pune University","Ganeshkhind Road,  Pune, Maharashtra, India.Pune","411007","Maharashtra","2(f) & 12(B)"
"933","Private","Scope Global Skills University","Scope Campus, NH-12,Bhaironpur, Near Misrod, Hoshangabad Road, Bhopal","462026","Madhya Pradesh","2(f)"
"934","Private","SDGI Global University","NH-9, Delhi-Hapur Road, Ghaziabad, Delhi-NCR","201015","Uttar Pradesh","2(f)"
"935","Private","Seacom Skills University","Village-Kendradanga,PO - Sattore,PS - Panrui, Dist - Birbhum","731236","West Bengal","2(f)"
"936","State","Shaheed Bhagat Singh State University","Moga Road, Firozpur","152001","Punjab","2(f)"
"937","State","Shaheed Mahendra Karma Vishvidyalaya","Dharampura 2, Jagdalpur, Distt. Bastar, ChhattisgarhChhattisgarh -494005","494001","Chhattisgarh","2(f)"
"938","State","Shaheed Nandkumar Patel Vishwavidyalaya","Garhumaria, Odisha Road,Raigarh","496001","Chhattisgarh","2(f)"
"939","Deemed to be Universities","Shanmugha Arts Science Technology & Research Academy (SASTRA)","Tirumalaisamudram, Thanjavur","613401","Tamil Nadu","Section-III & 12(B)"
"940","Private","Sharda University","Plot32,34, Knowledge Park III, Greater NoidaGrerater Noida","201306","Uttar Pradesh","2(f)"
"941","Private","Sharda University Agra","18 Km. Stone on Agra-Delhi Highway (NH-19), Keetham, Agra","282007","Uttar Pradesh","2(f)"
"942","Private","Sharnbasva University","Kalaburgi (Gulbarga)","585103","Karnataka","2(f)"
"943","State","Sher-e-Kashmir University of Agricultural Science & Technology","Shalimar, srinagar J and K Srinagar-190 001. (J&K)","190025","Jammu and Kashmir","2(f) & 12(B)"
"944","State","Sher-e-Kashmir University of Agricultural Science & Technology, Jammu","Jammu","","Jammu and Kashmir","2(f)"
"945","Private","Shiv Nadar University","Rajiv Gandhi Salai(OMR)Kalavakkam","603110","Tamil Nadu","2(f)"
"946","State","Shivaji University","Vidyanagar KolhapurKolhapur - 416 004.","416004","Maharashtra","2(f) & 12(B)"
"947","Deemed to be Universities","Shobhit Institute of Engineering & Technology","Dulhera Marg Roorkee Road, NH-58, Modipuram, Meerut","250110","Uttar Pradesh","Section-III"
"948","Private","Shobhit University","Adarsh Vijendra Institutional area  Gangoh, Saharanpur (U.P.)Babu Vijendra MargGangoh, Distt.- Saharanpur","247341","Uttar Pradesh","2(f)"
"949","Private","Shoolini University of Biotechnology and Management Sciences","Shoolini University, Village - Bajhol, PO - Sultanpur, District - Solan, State - Himachal Pradesh","173229","Himachal Pradesh","2(f)"
"950","Private","Shree Guru Gobind Singh Tricentenary University","Budhera, Gurugram - Badli Road, Gurugram (Haryana)Distt., Gurgaon, Haryana - 122 505","122505","Haryana","2(f) & 12(B)"
"951","State","Shree Sankaracharaya University of Sanskrit","P.B.No. 14, Kalady District,ErnakulamKalady","","Kerala","2(f) & 12(B)"
"952","State","Shree Somnath Sanskrit University","Ta: VeravalDistrict Junagarh","","Gujarat","2(f) & 12(B)"
"953","Private","Shreyarth University","C/o Gujarat Samachar Bhavan,Khanpur,Ahmedabad","380001","Gujarat","2(f)"
"954","Private","Shri Davara University","NH-30, Davara Educational Campus, Naya Raipur","493661","Chhattisgarh","2(f)"
"955","Private","Shri Dharmasthala Manjunatheshwara University","Manjushree Nagar , Sattur ,Dharwad- 09SDM College of Medical Sciences & Hospital CampusSattur, Dharwad","580009","Karnataka","2(f)"
"956","State","Shri Govind Guru University","Government Polytechnic Campus, RTO Road, Gadukpur, Godhra, Dist. Panchmahal (Gujarat)-389001 Gadukpur,Godhra,Dist. Panchmahals","389001","Gujarat","2(f)"
"957","Private","Shri Guru Ram Rai University","Patel NagarDehradun","","Uttarakhand","2(f)"
"958","State","Shri Jagannath Sanskrit Vishwavidyalaya","Shikha Rd, Penthakata, Puri","752003","Odisha","2(f) & 12(B)"
"959","Private","Shri Jagdish Prasad Jhabarmal Tibrewala University","Shri Jagdishprasad Jhabarmal Tibrewala University, Vidyanagri, Jhunjhunu Bisau Road, Chudela, District - Jhunjhunu, Rajasthan -333001Chudela, Distt.,-Jhunjhunu","333001","Rajasthan","2(f)"
"960","Private","Shri Kallaji Vedic Vishvavidyalaya","Kamdhaj Nagar,Nimbahera,Chittorgarh","","Rajasthan","2(f)"
"961","Private","Shri Khushal Das University","7 STG,  Suratgarh road, Hanumangarh Jn., Pilibangan","335801","Rajasthan","2(f)"
"962","State","Shri Krishna AYUSH University","Umri Road, Sector-8,Kurukshetra","","Haryana","2(f)"
"963","Private","Shri Krishna University","NH-86Villege Chauka Sagar Road Chhatarpur M.P.Village Chowka,Sagar Road, Chhatarpur","471001","Madhya Pradesh","2(f)"
"964","Central","Shri Lal Bahadur Shastri National Sanskrit University","Katwaria Sarai,New Mehrauli Road,New Delhi","110016","Delhi","2(f) & 12(B)"
"965","State","Shri Mata Vaishno Devi University","SMVD University, Kakryal, Katra, J&KKatra,J&K","182320","Jammu and Kashmir","2(f) & 12(B)"
"966","Private","Shri Ramasamy Memorial University, Sikkim","SRM University Sikkim, 5th Mile, Tadong, Gangtok, East Sikkim Tadong, RanipoolP.O. Gangtok","737102","Sikkim","2(f)"
"967","Private","Shri Ramswaroop Memorial University","Vill.-Hadauri, Post-Tindola, Lucknow-Deva Road, BarabankiLucknow-Deva Road,Barabanki,","225003","Uttar Pradesh","2(f)"
"968","Private","Shri Rawatpura Sarkar University","Near Shadani Darbar, Vill-Dhaneli,Post Office- Mana, Dhamtari Road,Raipur","","Chhattisgarh","2(f) & 12(B)"
"969","Private","Shri Shankaracharya Professional University","Village Junwani, BhilaiDistt.- Durg","490020","Chhattisgarh","2(f)"
"970","Private","Shri Vaishnav Vidyapeeth Vishwavidyalaya","Ujjain Road, Indore (MP)IndoreMadhya Pradesh","453111","Madhya Pradesh","2(f)"
"971","Private","Shri Venkateshwara University","NH-24, Rajabpur, Gajraula, Amroha, Uttar PradeshGajraula,Distt:- Amroha,","244236","Uttar Pradesh","2(f)"
"972","State","Shri Vishwakarma Skill University","Dudhola, Palwal","121102","Haryana","2(f)"
"973","Private","Shridhar University","Pilani-Chirawa Road, Pilani","333 031","Rajasthan","2(f)"
"974","Private","Shubham University","Semra Saiyad,Tehsil-HuzurDist.- Bhopal","462010","Madhya Pradesh","2(f)"
"975","Private","Shyam University","Dehla-Didwana, Tehsil Lalsot, Distt. Dausa, RajasthanLalsot,Distt- Dausa","303511","Rajasthan","2(f)"
"976","State","Sibsagar University","P.O. Joysagar, Dist. Sivasagar","785665","Assam","2(f)"
"977","State","Siddharth University","Siddharth University Kapilvastu, Siddharth NagarSiddharth Nagar","272202","Uttar Pradesh","2(f)"
"978","Deemed to be Universities","Siddhartha Academy of Higher Education","Vasantha Nagar, Kanuru, Vijayawada, Krishna District","520007","Andhra Pradesh","Section-III"
"979","State","Sidho-Kanho-Birsha University","Sidho-Kanho-Birsha University, Rachi Road, PO- Sainik School, Dist.- Purulia, PIN-723104, West BengalRanchi Road Campus,Near Sainik School,Purulia","723104","West Bengal","2(f) & 12(B)"
"980","State","Sido Kanhu Murmu University","Dighi Campus, Dumka - Pakur Road, Dumka Dumka,","814110","Jharkhand","2(f) & 12(B)"
"981","Private","Sigma University","Bakrol, Ajwa-Nimeta Road, Waghodiya, Vadodara","390019","Gujarat","2(f)"
"982","Private","Sikkim Alpine University (Formerly EIILM University)","Kamrang,Namchi,Dist.- South Sikkim","737126","Sikkim","2(f)"
"983","Private","Sikkim Global Technical University","Link Road, Bhutia Basti, District Namchi, Opp. to Reliance","737126","Sikkim","2(f)"
"984","Private","Sikkim International University","P.O. SribadamP.S. Kaluk, West SikkimSikkim-737121","737121","Sikkim","2(f)"
"985","Private","Sikkim Manipal University","5th Mile Tadong, GangtokEast Sikkim","737102","Sikkim","2(f)"
"986","State","Sikkim National Law University","Sikkim Government Law CollegeBurtuk(Campus)Gangtok","737101","Sikkim","2(f)"
"987","Private","Sikkim Professional University (Formerly Vinayaka Missions Sikkim University)","NH 31-A Tadong, Gangtok,East Sikkim","737 102","Sikkim","2(f)"
"988","Private","Sikkim Skill University","Namthang,Namthang Bazaar,South Sikkim,","737137","Sikkim","2(f)"
"989","Central","Sikkim University","6th Mile, SamdurP.O. Tadong,Gangtok","737102","Sikkim","2(f) & 12(B)"
"990","Deemed to be Universities","Siksha 'O' Anusandhan","Khandagiri Marg, Dharam Vihar, Jagamara, Bhubaneswar","751030","Odisha","Section-III & 12(B)"
"991","Private","Silicon University","Silicon Hills, Patia, District- Khorda, Bhubaneswar","751024","Odisha","2(f)"
"992","Private","Silver Oak University","Nr. Bhavik Publications, Opp. Bhagwat Vidhyapith, S.G. Highway, Gota,Ahmedabad Gota,Ahmedabad","382481","Gujarat","2(f)"
"993","Central","Sindhu Central University","Melongthang Leh-Ladakh,Near FRL","194101","Ladakh","2(f) & 12(B)"
"994","Private","Singhania University","Pacheri BariDistrict Jhunjhunu","333515","Rajasthan","2(f)"
"995","Deemed to be Universities","Sir J.J.School of  Art, Architecture & Design, Mumbai","78, Dr. D. N. Road, Fort Mumbai","400001","Maharashtra","Section-III"
"996","Private","Sir Padmapat Singhania University","Bhatewar, Udiapur","313 601","Rajasthan","2(f)"
"997","Private","Sister Nivedita University","DG-1/2, ACTION AREA-I, NEWTOWN, KOLKATARajarhatKolkata","700156","West Bengal","2(f)"
"998","Private","SKIPS University","Plot No. 411, Sanavad, Kalol, Gandhinagar","382721","Gujarat","2(f)"
"999","Private","Smt. Manjira Devi University","Hitanu Dhanari, Dunda, Uttarkashi","249151","Uttarakhand","2(f)"
"1000","State","Smt. Nathibai Damodar Thackersey Women's University","1,Nathibai Thackersay Rd.Mumbai - 400 020.","","Maharashtra","2(f) & 12(B)"
"1001","State","Soban Singh Jeena University","Almora","","Uttarakhand","2(f)"
"1002","Private","Somaiya Vidyavihar University","Office of the Registrar, 101, AryaBhat Building, Somaiya Vidyavihar UniversityVidyavihar (East), Mumbai","400077","Maharashtra","2(f)"
"1003","Private","Sona Devi University","Kitadih, PO & PS Ghatsila North Maubhandar, East Singhbhum","832303","Jharkhand","2(f)"
"1004","Central","South Asian University","Rajpur Road, Maidan Garhi, New Delhi","110068","Delhi","2(f) & 12(B)"
"1005","Private","Sparsh Himalaya University","Headquarter Fatehpur Tanda, Jeevanwala, Via Doiwala, Dehradun","248140","Uttarakhand","2(f)"
"1006","Private","Spicer Adventist University","Aundh Road,Ganeshkhind Post,Pune","411007","Maharashtra","2(f)"
"1007","State","Sports University of Haryana","Near 20th Mile Stone (Biswa-Mile), NH-44, Rai, Sonipat","131029","Haryana","2(f)"
"1008","State","Sree Narayanguru Open University","Kollam","691601","Kerala","2(f)"
"1009","Private","Sreenidhi University","Yamnampet (Village), Ghatkesar (Mandal), Medchal-Malkajgiri District, Hyderabad","501301","Telangana","2(f)"
"1010","Private","Sri Aurobindo University","SAIMS Campus,Indore-Ujjain State Highway,Near MR-10 Crossing, Sanwer Road, Indore","453555","Madhya Pradesh","2(f)"
"1011","Private","Sri Balaji University, Pune","SNo.55/2-7,Tathawade, off Mumbai-Banglore BypassPune","411033","Maharashtra","2(f)"
"1012","Deemed to be Universities","Sri Balaji Vidyapeeth","SBV Campus, Pillaiyarkuppam, Pondicherry","607402","Puducherry","Section-III & 12(B)"
"1013","Deemed to be Universities","Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya","Sri Jayendra Saraswathi Street, Enathur, Kanchipuram","631561","Tamil Nadu","Section-III"
"1014","State","Sri Dev Suman Uttarakhand Vishwavidyalaya","Badshahithaul, Tehri Garhwal","249 199","Uttarakhand","2(f)"
"1015","Deemed to be Universities","Sri Devraj Urs Academy of Higher Education and Research","Post Box No.62, Tamaka, Kolar","563101","Karnataka","Section-III"
"1016","Private","Sri Guru Granth Sahib World University","Fatehgarh Sahib","140 406","Punjab","2(f)"
"1017","Private","Sri Guru Ram Das University of Health Sciences","Sri Guru Ram Das University of Health Sciences, Mehta Road, VallahSri Amritsar","143501","Punjab","2(f)"
"1018","State","Sri Guru Teg Bahadur State University of Law","Sarhali Rd, Patti, District, Tarn Taran","143416","Punjab","2(f)"
"1019","Private","Sri Jagadhguru Murugarajendra University","SJM Camus,Chitradurga","577502","Karnataka","2(f)"
"1020","State","Sri Konda Laxman Telangana State Horticultural University","Mulugu, Siddipet district, Hyderabad","502279","Telangana","2(f)"
"1021","State","Sri krishnadevaraya University","Sri Venkateswarpuram,Anantapuram","515003","Andhra Pradesh","2(f) & 12(B)"
"1022","State","Sri Padmavati Mahila Vishwavidyalayam","Padmavathi Nagar, Tirupati,  Chittoor (Dist)","517502","Andhra Pradesh","2(f) & 12(B)"
"1023","Deemed to be Universities","Sri Ramachandra Institute of Higher Education and Research","No.1 Ramachandra Nagar, Porur, Chennai","600116","Tamil Nadu","Section-III & 12(B)"
"1024","Private","Sri Sai University","Sungal, P.O.: TaragarhPalampur","176081","Himachal Pradesh","2(f)"
"1025","Deemed to be Universities","Sri Sathya Sai Institute of Higher Learning","Prasanthi Nilayam, Anantapuramu","515134","Andhra Pradesh","Section-III & 12(B)"
"1026","Private","Sri Sathya Sai University for Human Excellence","Sri Sathya Sai Vidyaniketanam Campus,Navanihala, Post-Okali,Taluk-Kamalpur, Dist- Kalburagi","585313","Karnataka","2(f)"
"1027","Private","Sri Satya Sai University of Technology & Medical Sciences","Bhopal-Indore Road, Opposite Pachama Oil Fed Plant, Pachama Sehore","466001","Madhya Pradesh","2(f) & 12(B)"
"1028","Deemed to be Universities","Sri Siddhartha Academy of Higher Education","Agalakote, B.H. Road, Tumkur","572107","Karnataka","Section-III"
"1029","State","Sri Sri Aniruddhdeva Sports University","DICC BUILDING, 2ND FLOOR, ChabuaNEAR DISTRICT LIBRARY, DISTT. DIBRUGARH, Dibrugarh","786003","Assam","2(f)"
"1030","Private","Sri Sri University","Ward No – 3, Sandhapur, Godi Sahi, Cuttack Vidhayadharpur, Odisha 754006Godi Sahi, Ward No. 3 Cuttack Odisha.","754006","Odisha","2(f) & 12(B)"
"1031","State","Sri Venkateswara Institute of Medical Sciences","Alipiri Road, Tirupati, Chittoor Dist","517507","Andhra Pradesh","2(f) & 12(B)"
"1032","State","Sri Venkateswara University","Tirupati","517502","Andhra Pradesh","2(f) & 12(B)"
"1033","State","Sri Venkateswara Vedic University","Alipiri-Chandragiri Bypass Road, Tirupati, Chittoor Dist","517502","Andhra Pradesh","2(f)"
"1034","State","Sri Venkateswara Veterinary University","Dr. YSR Bhavan, Tirupati","517502","Andhra Pradesh","2(f) & 12(B)"
"1035","State","Srimanta Sankaradeva University of Health Sciences","Narakasur Hilltop, BhangagarhGuwahati","781032","Assam","2(f)"
"1036","Private","Srinath University","Dindli, AdityapurJamshedpur","831013","Jharkhand","2(f)"
"1037","Private","Srinivas University","Srinivas Nagar, Mukka, MangaloreCampus, Srinivas Nagar, Mukka, SurathkalMangalore","574146","Karnataka","2(f)"
"1038","Private","SRM University","Neerukonda Post, Mangalagiri Mandal, Gantur District","522240","Andhra Pradesh","2(f)"
"1039","Private","SRM University","Plot No - 39, Rajiv Gandhi Education City, Post office - P.SRai,Sonepat","131029","Haryana","2(f)"
"1040","Deemed to be Universities","St. Aloysius","St Aloysius College Road, Kodialbail, PB 720, Mangalore","575003","Karnataka","Section-III"
"1041","Private","St. Joseph University","Virgin Town, Khekiho-Zhimomi RoadIkishe Model Village,Ps- Diphupar, Dimapur","797115","Nagaland","2(f)"
"1042","Private","St. Joseph's University","P O Box 27094, #36, Lalbagh RoadBengaluru","560027","Karnataka","2(f)"
"1043","Deemed to be Universities","St. Peter’s Institute of Higher Education and Research","Tonakela Camp Road, Avadi, Chennai","600054","Tamil Nadu","Section-III"
"1044","Private","St. Xavier's University, Kolkata","Action Area III-B, Newtown, Kolkata, West BengalAction Area IIIB,P.S. New Town, Kolkata","700160","West Bengal","2(f)"
"1045","Private","Starex University","NH-8, Vill., Binola, P.O. Bhorakalan, Gurugram","122413","Haryana","2(f)"
"1046","Deemed to be Universities","Sumandeep Vidyapeeth","Post Piparia, Takula Waghodiya, Dist. Vadodara","391760","Gujarat","Section-III"
"1047","Private","Sunrise University","Bagad Rajput Tech. Ramgarh, Alwar Rajasthan","","Rajasthan","2(f)"
"1048","Private","Surajmal University","Sirauli, Kichha,Udham Singh Nagar","263148","Uttarakhand","2(f)"
"1049","Private","Surendranagar University","Shree Pandit Nathulalji Vyas Technical CampusSurendranagar- Ahmedabad HighwayNear Kothariya Village,At Wadhwan","363030","Gujarat","2(f)"
"1050","Private","Suresh Gyan Vihar University","MAHAL, JAGATPURA, JAIPURJaipur","302017","Rajasthan","2(f)"
"1051","Private","Sushant University (Formerly Ansal University)","Sec 55 Golf Course Road GurugramSector 55, Golf Course Road,Gurugram","122003","Haryana","2(f)"
"1052","State","Swami Keshwanand Rajasthan Agricultural University","Beechwal, Sriganganagar Road, Bikaner","334006","Rajasthan","2(f) & 12(B)"
"1053","Private","Swami Rama Himalayan University","Swami Ram Nagar, Jolly Grant,  Dehradun,  Uttarakhand, PO-Doiwala, Dehradun","248016","Uttarakhand","2(f)"
"1054","State","Swami Ramanand Teerth Marathwada University","Vishnupuri, Nanded","431606","Maharashtra","2(f) & 12(B)"
"1055","Private","Swami Vivekanand University","N.H.26, Narsingpur Road, SironjaSagar","470 228","Madhya Pradesh","2(f)"
"1056","Private","Swami Vivekananda Subharti University","Subhartipuram, NH-58, Delhi-Haridwar Bypass Road, Meerut, Uttar PradeshBypass Road, Meerut","250005","Uttar Pradesh","2(f)"
"1057","Private","Swami Vivekananda University","Sewli, Telinipara, Bara Kanthalia, Barasat - Barrackpore Rd., Kolkata, West BengalNorth 24 Paraganas, Barrackpore, Kolkata","700121","West Bengal","2(f)"
"1058","Deemed to be Universities","Swami Vivekananda Yoga Anusandhana Samsthana","Gavipuram Circle, Kempegowda Nagar, Agrahara, Bangalore","560019","Karnataka","Section-III & 12(B)"
"1059","Private","Swaminarayan University","Shree Swaminarayan Vishvamangal GurukulAhmedabad-Nehsana HighwayAT & PO- Saij, Tehsil -Kalol, Dist.:,Gandhinagar","382725","Gujarat","2(f)"
"1060","State","Swarnim Gujarat Sports University","Commerce College Campus, Opp Youth Hostel, Sector 15, Gandhinagar, Gujarat PTC Building Campus, Gandhinagar","382016","Gujarat","2(f)"
"1061","Private","Swarnim Startup & Innovation University","Bhoyan Rathod, GandhinagarOpp. IFFCO,Adalaj-Sertha Road, Gandhinagar","382420","Gujarat","2(f)"
"1062","Deemed to be Universities","Symbiosis International University","Gram: Lavale, Tal: Mulshi, District: Pune","412115","Maharashtra","Section-III & 12(B)"
"1063","Private","Symbiosis Skills and Professional University (Formerly Symbiosis Skill and Open University)","Kiwale, Adjoining Pune Mumbai Expressway, Pune - 412 101Adjoining Pune Mumbai Expressway,Tal- Havely, Pune","412101","Maharashtra","2(f)"
"1064","Private","Symbiosis University of Applied Sciences (SUAS)","Symbiosis University of Applied Sciences, Bada Bangarda, Super Corridor, Near Airport, IndoreSuper Corridor,Indore","453112","Madhya Pradesh","2(f)"
"1065","Private","T. S. Mishra University","17/9, Windsor Place, Behind Yojna Bhawan, Lucknow","226008","Uttar Pradesh","2(f)"
"1066","State","T.M. Bhagalpur University","Bhagalpur","","Bihar","2(f) & 12(B)"
"1067","Private","Takshashila University","Ongur (Post), Tindivanam Taluk, Villupuram District","604305","Tamil Nadu","2(f)"
"1068","State","Tamil Nadu Fisheries University","Vettar River View Campus, NagapattinamNagapattinam","611002","Tamil Nadu","2(f) & 12(B)"
"1069","State","Tamil Nadu Open University","No. 577, Anna Salai,Saidapet,Chennai","600015","Tamil Nadu","2(f) & 12(B)"
"1070","State","Tamil Nadu Physical Education and Sports University","Melakottaiyur, Sampat Maaligai, college Road, Chennai","600006","Tamil Nadu","2(f) & 12(B)"
"1071","State","Tamil Nadu Teacher Education University","Gangaiamman koil street, Karapakkam, Chennai,","600097","Tamil Nadu","2(f) & 12(B)"
"1072","State","Tamil University","Trichy Road, Thanjavur,PIN - 613 005. (T.N.)","","Tamil Nadu","2(f) & 12(B)"
"1073","State","Tamilnadu Agricultural University","Lawley Road, Coimbatore 641003, Tamilnadu","641003","Tamil Nadu","2(f) & 12(B)"
"1074","State","Tamilnadu Dr. Ambedkar Law University","Poompozhil,5.Dr.D.G.S. dinakaranSalai, Raja Annamalai Puram,Chennai-600028, (T.N.)","","Tamil Nadu","2(f) & 12(B)"
"1075","State","Tamilnadu Dr. M.G.R.Medical University","NO.69, ANNA SALAI, GUINDY, CHENNAI -600 032Chennai- 600 032.","600032","Tamil Nadu","2(f) & 12(B)"
"1076","State","Tamilnadu National Law University","Navalur Kuttapattu,Srirangam Taluk,Tiruchirapalli","620 009","Tamil Nadu","2(f) & 12(B)"
"1077","State","Tamilnadu Veterinary & Animal Sciences University","Tamil Nadu Veterinary and Animal Sciences University, Madhavaram Milk Colony, Chennai-51, Tamil Nadu","600051","Tamil Nadu","2(f) & 12(B)"
"1078","Private","Tantia University","Near RIICO Bus StandHanumangarh RoadSri Ganganagar","335002","Rajasthan","2(f)"
"1079","Deemed to be Universities","Tata Institute of Fundamental Research","Dr Homi Bhabha Road, Navy Nagar, Colaba, Mumbai","400005","Maharashtra","Section-III & 12(B)"
"1080","Deemed to be Universities","Tata Institute of Social Sciences","VN Purav Marg, Deonar, Chembur, Mumbai","400088","Maharashtra","Section-III & 12(B)"
"1081","Private","Team Lease Skills University","Tarsali-Vadodara RoadTarsali Bypass, Vadodara","390 009","Gujarat","2(f)"
"1082","Private","Techno Global University","Lateri RoadSirouj (Near Gosala)Distt. Vidisha","464228","Madhya Pradesh","2(f)"
"1083","Private","Techno India University","EM 4, Sector V, Salt Lake, Kolkata-700091Salt LakeKolkata","700091","West Bengal","2(f)"
"1084","Private","Techno India University","Maheshkhola, Village Anandanagar, PS- Amtali, dist-West Tripura,","799004","Tripura","2(f)"
"1085","Private","Teerthanker Mahaveer University","N.H.-24, Delhi Road, Moradabad - 244001, Uttar Pradesh","244001","Uttar Pradesh","2(f) & 12(B)"
"1086","State","Telangana University","Vil: Nadpally, Suddapally, Mdl: Dichpally, Dist.: NizamabadNizamabad- 503 322Andhra Pradesh","503322","Telangana","2(f) & 12(B)"
"1087","Deemed to be Universities","TERI School of Advanced studies","10 Institutional Area, Vasant Kunj,  New Delhi","110070","Delhi","Section-III"
"1088","Central","Tezpur University","P.O. -Napaam, Tezpur, Dist. Sonitpur","784028","Assam","2(f) & 12(B)"
"1089","Deemed to be Universities","Thapar Institute of Engineering & Technology","P.O. Box 32, Bhadson Road, Patiala","147004","Punjab","Section-III"
"1090","Private","The Apollo University","The Apollo Knoledge City, Saketa, Murukambattu, Chittoor","517127","Andhra Pradesh","2(f)"
"1091","Private","The Aryavart International University","Tilthal, Dharmanagar, North Tripura","799260","Tripura","2(f)"
"1092","Private","The Assam Kaziranga University","Jorhat, Assam","785006","Assam","2(f)"
"1093","Private","The Assam Royal Global University","Betkuchi, Opp Tirupati Balaji Temple, Guwahati","781035","Assam","2(f)"
"1094","State","The Bengal Engineering & Science University","ShibpurHowrah","","West Bengal","2(f)"
"1095","Private","The Charutar Vidya Mandal(CVM) University","Besides BVM College, Vallabh Vidyanagar, Distt.- Anand","388120","Gujarat","2(f)"
